lot_id,horseId,salesId,lot_number,book_number,sex,horse_name,sire_name,session_median_price,mv_expected_index,mv_low_index,mv_high_index,mv_expected_price,mv_low_price,mv_high_price,mv_raw_price,mv_confidence_tier,mv_model_version,mv_generated_at
507669,1722813,2005,262,0,Filly,Incys26-262,Ole Kirk,70000.0,1.4726855683895772,0.9779571017436509,2.6623325758492866,103100.0,68500.0,186400.0,103100.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507670,1722814,2005,263,0,Colt,Incys26-263,Tiger Of Malay,70000.0,0.4075708106979082,0.22407810770286252,0.7722518519420983,28500.0,15700.0,54100.0,28500.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507671,1722815,2005,264,0,Colt,Incys26-264,Pierata,70000.0,0.9658410777442179,0.5240648834348608,1.4347312505864087,67600.0,36700.0,100400.0,67600.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507672,1722816,2005,265,0,Colt,Incys26-265,Alabama Express,70000.0,1.056868600982873,0.8862710399470421,1.8641759117571532,74000.0,62000.0,130500.0,74000.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507673,1722817,2005,266,0,Colt,Incys26-266,Pinatubo,70000.0,0.9241585551105536,0.7995615496210143,2.1308287979018976,64700.0,56000.0,149200.0,64700.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507674,1722818,2005,267,0,Filly,Incys26-267,Zousain,70000.0,1.019312586315935,0.7544589298130089,2.003312070048339,71400.0,52800.0,140200.0,71400.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507675,1722819,2005,268,0,Filly,Incys26-268,All Too Hard,70000.0,1.1584096231464005,0.7572257477683184,1.9198378983769495,81100.0,53000.0,134400.0,81100.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507676,1722820,2005,269,0,Colt,Incys26-269,Tassort,70000.0,0.667620667161011,0.3060499557055306,1.1136938939853467,46700.0,21400.0,78000.0,46700.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507677,1722821,2005,270,0,Colt,Incys26-270,Trapeze Artist,70000.0,0.3999284848043108,0.22197338013600224,0.8964346526157114,28000.0,15500.0,62800.0,28000.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507678,1723327,2005,271,0,Filly,Incys26-271,Bivouac,70000.0,1.4303967844206826,0.6468448606020968,2.4147747229725782,100100.0,45300.0,169000.0,100100.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507679,1722822,2005,272,0,Filly,Incys26-272,Maurice,70000.0,1.1646440852496176,0.8379024217265361,2.1250938116226537,81500.0,58700.0,148800.0,81500.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507680,1751788,2005,273,0,Colt,INGS25-181,Toronado,70000.0,1.2283577645073938,0.6521200554976899,2.4524659986038047,86000.0,45600.0,171700.0,86000.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507681,1722824,2005,274,0,Filly,Incys26-274,Stay Inside,70000.0,1.1507073814699518,0.6643411454352052,2.3962762784017997,80500.0,46500.0,167700.0,80500.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507682,1722825,2005,275,0,Filly,Incys26-275,Hellbent,70000.0,1.1425209984576397,0.8110305171831769,2.188350985067662,80000.0,56800.0,153200.0,80000.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507683,1722826,2005,276,0,Colt,Incys26-276,Alabama Express,70000.0,1.1447641314233017,1.0925786671311812,1.9773450729046114,80100.0,76500.0,138400.0,80100.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507684,1722827,2005,277,0,Colt,Incys26-277,Ole Kirk,70000.0,1.3363192129106267,0.8930426751881093,2.0123622130002317,93500.0,62500.0,140900.0,93500.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507685,1722828,2005,278,0,Colt,Incys26-278,Pierata,70000.0,0.9187625853584772,0.44034478621170087,1.5123772679246343,64300.0,30800.0,105900.0,64300.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507686,1722829,2005,279,0,Colt,Incys26-279,Zousain,70000.0,1.5170738211639547,0.8836429443620235,2.4647007191607577,106200.0,61900.0,172500.0,106200.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507687,1722830,2005,280,0,Filly,Incys26-280,Cool Aza Beel,70000.0,0.7811930980185372,0.3627321004496961,1.2189062804976412,54700.0,25400.0,85300.0,54700.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507688,1722831,2005,281,0,Colt,Incys26-281,Tiger Of Malay,70000.0,0.4689043726884085,0.28214924698429517,0.7805620676445374,32800.0,19800.0,54600.0,32800.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507689,1722832,2005,282,0,Filly,Incys26-282,Pierata,70000.0,1.3604195998171034,0.7292460031700787,1.6572380458905467,95200.0,51000.0,116000.0,95200.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507690,1722833,2005,283,0,Filly,Incys26-283,The Autumn Sun,70000.0,1.4211369041627098,0.8693479466228112,2.169820714859497,99500.0,60900.0,151900.0,99500.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507691,1752513,2005,284,0,Filly,INAUW25-33,Home Affairs,70000.0,2.552565096939547,1.593545883572638,4.2468974720513755,178700.0,111500.0,297300.0,178700.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507692,1722834,2005,285,0,Colt,Incys26-285,Castelvecchio,70000.0,0.7852161625821681,0.537848646740075,2.0085626764356013,55000.0,37600.0,140600.0,55000.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507693,1722835,2005,286,0,Colt,Incys26-286,Jacquinot,70000.0,1.2600162617317052,0.808569491755997,2.6328028425220515,88200.0,56600.0,184300.0,88200.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
